City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cidreira,BR,-30.1811,-50.2056,63.37,83,100,7.63,overcast clouds
80,Yulara,AU,-25.2406,130.9889,100.24,6,8,8.05,clear sky
81,Qaanaaq,GL,77.484,-69.3632,-6.9,64,67,7.54,broken clouds
82,Walvis Bay,NA,-22.9575,14.5053,63.55,67,0,9.22,clear sky
83,Iqaluit,CA,63.7506,-68.5145,19.13,68,90,16.11,light snow
84,Butaritari,KI,3.0707,172.7902,82.17,76,100,12.21,light rain
85,Megion,RU,61.0296,76.1136,-9.38,96,91,9.98,overcast clouds
86,Nemuro,JP,43.3236,145.575,46.83,82,98,26.13,light rain
87,Kirakira,SB,-10.4544,161.9205,80.15,82,99,3.33,overcast clouds
88,Jawhar,SO,2.7809,45.5005,87.28,51,87,10.18,overcast clouds
89,Saint-Philippe,RE,-21.3585,55.7679,87.12,61,2,16.75,clear sky
90,Dingle,PH,10.9995,122.6711,84.97,74,98,3.22,overcast clouds
91,La Ronge,CA,55.1001,-105.2842,17.85,86,40,4.61,scattered clouds
92,Khatanga,RU,71.9667,102.5,-25.1,98,25,5.97,scattered clouds
93,Port Elizabeth,ZA,-33.918,25.5701,68.09,59,0,20.71,clear sky
94,Mamallapuram,IN,12.6264,80.1722,80.65,83,81,16.28,broken clouds
95,Mercedes,AR,-34.6515,-59.4307,61.18,48,0,3.85,clear sky
96,Kaitangata,NZ,-46.2817,169.8464,61.93,51,100,8.9,overcast clouds
97,Leningradskiy,RU,69.3833,178.4167,-4.5,80,22,5.26,few clouds
98,Bosanska Krupa,BA,44.8825,16.1514,44.58,76,79,0.78,broken clouds
99,Zhigansk,RU,66.7697,123.3711,-16.42,96,100,4.7,overcast clouds
100,Sola,VU,-13.8833,167.55,81.07,73,100,5.93,overcast clouds
101,Ust-Kuyga,RU,70.0167,135.6,-8.21,100,98,3.29,overcast clouds
102,Cap Malheureux,MU,-19.9842,57.6142,82.89,56,1,14.0,clear sky
103,Ngunguru,NZ,-35.6167,174.5,60.17,60,100,2.17,overcast clouds
104,Phalodi,IN,27.1333,72.3667,82.74,16,0,11.12,clear sky
105,Lucapa,AO,-8.4192,20.7447,73.26,76,78,4.45,broken clouds
106,Luanda,AO,-8.8368,13.2343,79.43,78,93,3.44,overcast clouds
107,Esperance,AU,-33.8667,121.9,62.44,63,72,14.81,broken clouds
108,Ginda,IN,30.6945,78.4932,68.43,19,0,5.79,clear sky
109,Hobart,AU,-42.8794,147.3294,59.27,71,75,1.01,broken clouds
110,Borken,DE,51.85,6.8667,52.68,92,100,11.45,overcast clouds
111,Mahon,ES,39.8885,4.2658,52.36,93,20,10.36,few clouds
112,Konstantinovka,RU,49.6167,127.9833,10.15,90,6,3.8,clear sky
113,Vaini,TO,-21.2,-175.2,75.36,94,20,3.44,few clouds
114,Aykhal,RU,66.0,111.5,-14.82,100,36,4.81,scattered clouds
115,Tiksi,RU,71.6872,128.8694,-3.3,97,100,7.49,overcast clouds
116,Qostanay,KZ,53.1667,63.5833,17.89,93,90,17.9,overcast clouds
117,Salamanca,ES,40.8333,-6.0,41.76,86,5,5.95,clear sky
118,San Quintin,MX,30.4833,-115.95,60.58,84,100,6.46,overcast clouds
119,Moranbah,AU,-22.0016,148.0466,86.02,31,0,16.15,clear sky
120,Tiarei,PF,-17.5333,-149.3333,78.82,73,64,20.78,broken clouds
121,Rassvet,RU,46.8333,40.75,35.64,97,100,6.71,light snow
122,Antofagasta,CL,-23.65,-70.4,60.08,85,12,2.19,few clouds
